method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PE O-16:1_24:0,PE,True,0.0012416560138305806,3.104387290755964e-06,CACHED_FULL_FOREGROUND,6.150410589867294e-05,1.0,0.007982010062637972,False,False,False
NNLS,PE O-16:1_24:1,PE,True,0.0011359540226601186,,NOT_COMPUTED_ZERO_COEFFICIENT,-1.6606359830734145e-05,0.75,0.004624284087960537,False,False,False
NNLS,PE O-16:1_24:4,PE,True,0.001067960725831679,,NOT_COMPUTED_ZERO_COEFFICIENT,0.00030086541097942474,0.8,0.0033477847132442453,False,False,False
NNLS,PE O-16:1_24:5,PE,True,0.001053383167534024,,NOT_COMPUTED_ZERO_COEFFICIENT,8.211545468712651e-05,0.6,0.002937784410220992,False,False,False
NNLS,PE O-16:1_24:6,PE,True,0.0034411900229242747,3.420899005156468e-05,CACHED_FULL_FOREGROUND,0.0028838806301867467,0.8,0.49436408925677283,False,False,False
NNLS,PE O-18:0_20:1,PE,False,0,,UNREPORTED,-0.00011793836259769007,0.0,,False,False,False
NNLS,PE O-18:0_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:0_20:3,PE,False,0,,UNREPORTED,-2.5151837119533306e-16,0.0,,False,False,False
NNLS,PE O-18:0_20:4,PE,True,0.006791748064562853,6.343989945850036e-05,CACHED_FULL_FOREGROUND,-0.001419853582280587,0.4,0.8625277330922,True,True,False
NNLS,PE O-18:0_20:5,PE,True,0.003255126225492859,0.0,CACHED_FULL_FOREGROUND,-0.006555026013004693,0.0,0.29540508420313405,False,False,False
NNLS,PE O-18:0_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:0_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:0_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:0_22:4,PE,False,0,,UNREPORTED,-0.00046647730265520897,0.0,,False,False,False
NNLS,PE O-18:0_22:5,PE,True,0.003362793622143348,,NOT_COMPUTED_ZERO_COEFFICIENT,-0.013412723038327995,0.2,0.2599810551631619,False,False,False
NNLS,PE O-18:0_22:6,PE,True,0.002867720582462564,0.0,CACHED_FULL_FOREGROUND,0.000772351844339892,0.2,0.27630322129252005,False,False,False
NNLS,PE O-18:1_20:1,PE,True,0.00923076084780324,3.0264265849368767e-07,CACHED_FULL_FOREGROUND,0.006696071676432329,0.5,0.9515933378890579,True,True,False
NNLS,PE O-18:1_20:2,PE,True,0.002030808496695398,0.0,CACHED_FULL_FOREGROUND,0.0025440210246943135,0.25,0.0858930465288909,False,False,False
NNLS,PE O-18:1_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:1_20:4,PE,True,0.08190485228238524,0.0011441976961459226,CACHED_FULL_FOREGROUND,0.0758833784964893,1.0,0.9991122016819663,True,True,True
NNLS,PE O-18:1_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:1_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-18:1_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
